,SKU,Harga,Jumlah_Penjualan,Halaman,GMV
14,Grosir!!!MATOA Manis TERMURAH,55000,0,5,0
15,Buah matoa,95000,0,5,0
16,Buah Matoa 3 Rasa,37000,0,5,0
17,❄️Grosir 1KG BUAH MATOA DAGING TEBAL MANIS,443324,0,5,0
18,Matoa Singo Jam Tangan Kayu PriaWanitaUnisex - Ebony,70000,0,5,0
19,matoa,50000,100,5,5000000
20,matoa merah,59911,0,5,0
21,matoa,50000,0,5,0
22,Matoa,26999,0,5,0
23,Matoa,37000,0,5,0
24,Bibit Matoa Super Unggul,74000,0,5,0
25,Promo promo! MATOA BUAH SEGAR,2167900,0,5,0
26,Matoa segar enak,65000,0,5,0
27,buah matoa,35000,0,5,0
28,Khusus luar jawa buah matoa 1kg,47250,0,5,0
